store_id,uptime_last_hour(in minutes), uptime_last_day_report(in hours), update_report_last_week(in hours), downtime_last_hour(in minutes), downtime_last_day(in hours), downtime_last_week(in hours)
1000385412041408565,0,0,6 ,0,6,27
1000400335282361328,0,0,0 ,0,0,0
1000558441535520566,0,0,3 ,60.0,8,41
1003200614770244799,60.0,8,39 ,0,0,0
1003713923115890238,0,0,0 ,0,0,0
1004567882358859299,0,0,0 ,0,0,0
1004734158580760410,0,0,0 ,0,0,0
1005454408747305679,60.0,13,81 ,0,0,0
1006003012278214453,0,0,0 ,0,0,0
1006235379059772386,0,0,0 ,0,0,0
1007392278459573100,60.0,8,32 ,0,0,0
100927970158485910,0,0,0 ,0,0,0
1009333266625513049,0,0,0 ,0,5,28
1010479668839241668,60.0,19,97 ,0,0,0
